ID,Incomplete,Quantity-Unit,DV-Unit,DS1-Family,DS1-Theta_0,DS1-Theta_1,DS1-AffectedArea,DS2-Family,DS2-Theta_0,DS2-Theta_1,DS2-AffectedArea,DS3-Family,DS3-Theta_0,DS3-Theta_1,DS3-AffectedArea,DS4-Family,DS4-Theta_0,DS4-Theta_1,DS4-AffectedArea,DS5-Family,DS5-Theta_0,DS5-Theta_1,DS5-AffectedArea,DS6-Family,DS6-Theta_0,DS6-Theta_1,DS6-AffectedArea,DS7-Family,DS7-Theta_0,DS7-Theta_1,DS7-AffectedArea,DS8-Family,DS8-Theta_0,DS8-Theta_1,DS8-AffectedArea,DS9-Family,DS9-Theta_0,DS9-Theta_1,DS9-AffectedArea,DS10-Family,DS10-Theta_0,DS10-Theta_1,DS10-AffectedArea,DS11-Family,DS11-Theta_0,DS11-Theta_1,DS11-AffectedArea,DS12-Family,DS12-Theta_0,DS12-Theta_1,DS12-AffectedArea,DS13-Family,DS13-Theta_0,DS13-Theta_1,DS13-AffectedArea,DS14-Family,DS14-Theta_0,DS14-Theta_1,DS14-AffectedArea,DS15-Family,DS15-Theta_0,DS15-Theta_1,DS15-AffectedArea
B2022.001-S1,0,30 SF,persons,,,,,lognormal,0.02,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2022.002-S1,0,30 SF,persons,,,,,lognormal,0.02,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2022.011-S1,0,30 SF,persons,,,,,,,,,lognormal,0.02,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2022.021-S1,0,30 SF,persons,,,,,lognormal,0.02,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2022.022-S1,0,30 SF,persons,,,,,lognormal,0.02,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2022.023-S1,0,30 SF,persons,,,,,lognormal,0.02,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2022.031-S1,0,30 SF,persons,,,,,lognormal,0.02,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2022.032-S1,0,30 SF,persons,,,,,lognormal,0.02,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2022.033-S1,0,30 SF,persons,,,,,lognormal,0.02,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2022.034-S1,0,30 SF,persons,,,,,lognormal,0.02,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2022.035-S1,0,32 SF,persons,,,,,lognormal,0.02,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2022.036-S1,0,32 SF,persons,,,,,lognormal,0.02,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2022.037-S1,0,30 SF,persons,,,,,lognormal,0.02,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B2022.038-S1,0,30 SF,persons,,,,,lognormal,0.02,0.5,36 SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
